run,source_file,n_total_samples,n_active_samples,n_stable_samples,mean_power_cpu_100_active_mW,sd_power_cpu_100_active_mW,min_power_cpu_100_active_mW,max_power_cpu_100_active_mW,mean_power_cpu_100_stable_mW,sd_power_cpu_100_stable_mW,min_power_cpu_100_stable_mW,max_power_cpu_100_stable_mW,P_idle_mW,K_mW
cpu_only_100_10ms_run1,cpu_only_100_10ms_run1.csv,3999,2001,1801,219.93378310844577,6.8953327063263625,166.25,223.75,219.9548861743476,6.830960848375351,166.25,223.75,168.956222,50.998664174347596
cpu_only_100_10ms_run10,cpu_only_100_10ms_run10.csv,3999,2001,1801,220.46789105447277,6.835719585392911,167.5,223.75,220.4920877290394,6.775920386442778,167.5,223.75,168.956222,51.535865729039415
cpu_only_100_10ms_run2,cpu_only_100_10ms_run2.csv,3999,2001,1801,219.99750124937532,6.905613206162242,166.25,223.75,220.01249305941144,6.856149668815682,166.25,223.75,168.956222,51.05627105941144
cpu_only_100_10ms_run3,cpu_only_100_10ms_run3.csv,3999,2001,1801,220.12243878060968,6.83458585061134,166.25,223.75,220.14019988895058,6.788940128704523,166.25,223.75,168.956222,51.18397788895058
cpu_only_100_10ms_run4,cpu_only_100_10ms_run4.csv,3999,2001,1801,220.138055972014,6.874124472895863,167.5,223.75,220.1631038312049,6.802160635072132,167.5,223.75,168.956222,51.206881831204896
cpu_only_100_10ms_run5,cpu_only_100_10ms_run5.csv,3999,2001,1801,220.27048975512244,6.842268809394946,167.5,223.75,220.27137701277067,6.771705922644745,167.5,223.75,168.956222,51.315155012770674
cpu_only_100_10ms_run6,cpu_only_100_10ms_run6.csv,3999,2001,1801,220.3354572713643,6.8715268247529515,166.25,225.0,220.3463353692393,6.8277888406064235,166.25,225.0,168.956222,51.390113369239316
cpu_only_100_10ms_run7,cpu_only_100_10ms_run7.csv,3999,2001,1801,220.39417791104447,6.853604149375111,166.25,225.0,220.42962243198224,6.808532928255582,166.25,225.0,168.956222,51.47340043198224
cpu_only_100_10ms_run8,cpu_only_100_10ms_run8.csv,3999,2001,1801,220.4472763618191,6.824233021232824,166.25,225.0,220.46501943364797,6.772900298834815,166.25,225.0,168.956222,51.50879743364797
cpu_only_100_10ms_run9,cpu_only_100_10ms_run9.csv,3999,2001,1801,220.48100949525238,6.881684145644256,167.5,225.0,220.50388672959468,6.8374823905071995,167.5,225.0,168.956222,51.547664729594686
