run,power_on_time_s,active_start_time_s,active_end_time_s,active_duration_s,idle_level_mA,active_level_mA,delta_mA,threshold_mA
ppk_cpu_100_run1,1.393,12.819,32.813,19.994,47.5457167,67.37995946,19.834242759999995,57.46283808
ppk_cpu_100_run2,1.588,13.019,33.012,19.993000000000002,47.20817329500001,67.482234715,20.274061419999995,57.34520400500001
ppk_cpu_100_run3,1.476,12.905,,,46.761821229999995,67.5904764793798,20.828655249379807,57.1761488546899
ppk_cpu_100_run4,1.471,12.89,32.888,19.997999999999998,47.75635012000001,67.547995385,19.791645264999985,57.6521727525
ppk_cpu_100_run5,1.309,12.735,,,47.63284356,67.39822072499999,19.76537716499999,57.51553214249999
ppk_cpu_100_run6,1.441,12.875,32.861,19.985999999999997,47.54578695,67.270352395,19.724565445000003,57.408069672500005
ppk_cpu_100_run7,1.412,12.853,32.851,19.997999999999998,46.96505854,67.4494124375,20.4843538975,57.20723548875
ppk_cpu_100_run8,1.346,12.769,32.767,19.998000000000005,47.08120707,67.67580354,20.594596470000006,57.378505305000004
ppk_cpu_100_run9,1.599,13.022,33.011,19.989000000000004,47.226345730000006,67.65033439999999,20.423988669999986,57.438340065
ppk_cpu_100_run10,1.262,12.698,32.698,20.0,47.273537875,67.182735365,19.909197489999997,57.22813662
