timestamp_ms,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
0,0.437500,5.070000,43.750,221.250,0,OK
16,0.330000,5.083750,33.000,167.500,0,OK
36,0.330000,5.088750,33.000,167.500,0,OK
56,0.330000,5.088750,33.000,167.500,0,OK
76,0.330000,5.088750,33.000,167.500,0,OK
96,0.330000,5.088750,33.000,167.500,0,OK
116,0.335000,5.090000,33.000,167.500,0,OK
136,0.332500,5.088750,33.000,167.500,0,OK
156,0.330000,5.088750,33.000,167.500,0,OK
176,0.330000,5.090000,33.000,167.500,0,OK
196,0.332500,5.087500,33.250,170.000,0,OK
216,0.330000,5.090000,33.000,167.500,0,OK
236,0.330000,5.088750,33.000,167.500,0,OK
256,0.330000,5.088750,33.000,167.500,0,OK
276,0.330000,5.090000,33.000,167.500,0,OK
296,0.330000,5.088750,33.250,170.000,0,OK
316,0.327500,5.090000,33.000,167.500,0,OK
336,0.330000,5.088750,32.750,167.500,0,OK
356,0.330000,5.090000,33.000,167.500,0,OK
376,0.332500,5.087500,33.250,170.000,0,OK
396,0.330000,5.088750,33.000,167.500,0,OK
416,0.327500,5.088750,32.750,166.250,0,OK
436,0.332500,5.088750,33.250,170.000,0,OK
456,0.330000,5.088750,33.000,167.500,0,OK
476,0.330000,5.090000,33.000,167.500,0,OK
496,0.330000,5.090000,33.000,167.500,0,OK
516,0.325000,5.088750,33.000,166.250,0,OK
536,0.330000,5.085000,33.000,167.500,0,OK
556,0.330000,5.088750,33.000,167.500,0,OK
576,0.330000,5.088750,33.000,167.500,0,OK
596,0.327500,5.088750,32.750,166.250,0,OK
616,0.330000,5.088750,33.000,167.500,0,OK
636,0.337500,5.088750,32.750,166.250,0,OK
656,0.330000,5.088750,32.750,166.250,0,OK
676,0.330000,5.090000,33.250,170.000,0,OK
696,0.330000,5.087500,33.000,167.500,0,OK
716,0.330000,5.087500,33.000,167.500,0,OK
736,0.332500,5.088750,33.250,170.000,0,OK
756,0.330000,5.090000,33.000,167.500,0,OK
776,0.327500,5.088750,32.750,166.250,0,OK
796,0.327500,5.090000,32.750,166.250,0,OK
816,0.325000,5.088750,32.750,166.250,0,OK
836,0.332500,5.088750,33.000,167.500,0,OK
856,0.327500,5.088750,32.750,166.250,0,OK
876,0.327500,5.090000,32.750,166.250,0,OK
896,0.330000,5.088750,33.000,167.500,0,OK
916,0.330000,5.090000,33.000,167.500,0,OK
936,0.332500,5.088750,33.250,170.000,0,OK
956,0.327500,5.088750,32.750,166.250,0,OK
976,0.330000,5.090000,33.000,167.500,0,OK
996,0.330000,5.088750,33.000,167.500,0,OK
1016,0.327500,5.090000,33.000,167.500,0,OK
1036,0.327500,5.090000,33.000,166.250,0,OK
1056,0.330000,5.083750,33.000,167.500,0,OK
1076,0.332500,5.090000,33.250,170.000,0,OK
1096,0.327500,5.090000,32.750,166.250,0,OK
1116,0.327500,5.090000,32.750,166.250,0,OK
1136,0.330000,5.088750,33.000,167.500,0,OK
1156,0.337500,5.088750,32.750,166.250,0,OK
1176,0.325000,5.090000,32.750,166.250,0,OK
1196,0.330000,5.090000,33.250,170.000,0,OK
1216,0.330000,5.090000,32.750,167.500,0,OK
1236,0.327500,5.086250,32.750,166.250,0,OK
1256,0.330000,5.088750,33.000,167.500,0,OK
1276,0.330000,5.090000,33.000,167.500,0,OK
1296,0.332500,5.090000,33.250,170.000,0,OK
1316,0.332500,5.088750,33.250,170.000,0,OK
1336,0.330000,5.091250,33.000,167.500,0,OK
1356,0.327500,5.088750,33.250,170.000,0,OK
1376,0.330000,5.090000,32.750,167.500,0,OK
1396,0.330000,5.088750,33.000,167.500,0,OK
1416,0.330000,5.087500,33.000,167.500,0,OK
1436,0.330000,5.088750,33.000,167.500,0,OK
1456,0.330000,5.090000,33.000,167.500,0,OK
1476,0.330000,5.088750,33.000,167.500,0,OK
1496,0.332500,5.088750,33.250,170.000,0,OK
1516,0.330000,5.090000,32.750,166.250,0,OK
1536,0.330000,5.090000,33.250,170.000,0,OK
1556,0.330000,5.088750,33.000,167.500,0,OK
1576,0.330000,5.085000,33.000,167.500,0,OK
1596,0.330000,5.090000,33.000,167.500,0,OK
1616,0.330000,5.088750,33.000,167.500,0,OK
1636,0.327500,5.090000,32.750,166.250,0,OK
1656,0.330000,5.090000,33.000,167.500,0,OK
1676,0.327500,5.090000,32.750,166.250,0,OK
1696,0.330000,5.088750,33.000,167.500,0,OK
1716,0.332500,5.087500,33.000,167.500,0,OK
1736,0.330000,5.090000,33.750,167.500,0,OK
1756,0.330000,5.086250,33.000,167.500,0,OK
1776,0.327500,5.090000,32.750,166.250,0,OK
1796,0.332500,5.088750,33.250,170.000,0,OK
1816,0.330000,5.090000,33.000,167.500,0,OK
1836,0.330000,5.090000,33.000,167.500,0,OK
1856,0.332500,5.090000,33.000,167.500,0,OK
1876,0.330000,5.088750,32.750,166.250,0,OK
1896,0.332500,5.088750,33.000,167.500,0,OK
1916,0.332500,5.090000,33.250,170.000,0,OK
1936,0.330000,5.087500,33.000,167.500,0,OK
1956,0.330000,5.090000,33.000,167.500,0,OK
1976,0.327500,5.090000,32.750,166.250,0,OK
1996,0.330000,5.090000,33.000,167.500,0,OK
2016,0.330000,5.087500,33.000,167.500,0,OK
2036,0.327500,5.088750,33.000,167.500,0,OK
2056,0.330000,5.088750,33.250,170.000,0,OK
2076,0.330000,5.088750,32.750,167.500,0,OK
2096,0.330000,5.088750,33.000,167.500,0,OK
2116,0.330000,5.090000,33.000,167.500,0,OK
2136,0.332500,5.090000,33.250,170.000,0,OK
2156,0.330000,5.090000,33.000,167.500,0,OK
2176,0.327500,5.090000,32.750,166.250,0,OK
2196,0.330000,5.088750,33.000,167.500,0,OK
2216,0.330000,5.090000,33.000,167.500,0,OK
2236,0.332500,5.090000,32.750,166.250,0,OK
2256,0.330000,5.090000,33.000,167.500,0,OK
2276,0.332500,5.085000,33.250,170.000,0,OK
2296,0.332500,5.090000,33.250,170.000,0,OK
2316,0.332500,5.087500,33.250,170.000,0,OK
2336,0.330000,5.090000,33.000,167.500,0,OK
2356,0.330000,5.090000,33.000,167.500,0,OK
2376,0.340000,5.088750,33.000,167.500,0,OK
2396,0.327500,5.090000,32.750,166.250,0,OK
2416,0.330000,5.088750,33.250,167.500,0,OK
2436,0.330000,5.091250,33.000,167.500,0,OK
2456,0.330000,5.086250,33.000,167.500,0,OK
2476,0.332500,5.090000,33.250,170.000,0,OK
2496,0.327500,5.088750,32.750,166.250,0,OK
2516,0.330000,5.090000,33.000,167.500,0,OK
2536,0.330000,5.088750,33.000,167.500,0,OK
2556,0.332500,5.088750,33.000,167.500,0,OK
2576,0.327500,5.090000,33.250,170.000,0,OK
2596,0.327500,5.088750,33.000,166.250,0,OK
2616,0.327500,5.088750,32.750,166.250,0,OK
2636,0.330000,5.088750,33.000,167.500,0,OK
2656,0.327500,5.090000,32.750,166.250,0,OK
2676,0.327500,5.090000,32.750,166.250,0,OK
2696,0.332500,5.088750,33.250,170.000,0,OK
2716,0.327500,5.090000,32.750,166.250,0,OK
2736,0.327500,5.088750,33.000,167.500,0,OK
2756,0.327500,5.088750,32.750,166.250,0,OK
2776,0.330000,5.088750,32.750,167.500,0,OK
2796,0.330000,5.085000,33.000,167.500,0,OK
2816,0.332500,5.090000,33.250,170.000,0,OK
2836,0.327500,5.088750,32.750,166.250,0,OK
2856,0.330000,5.090000,33.000,167.500,0,OK
