timestamp_us,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
20309,0.330000,5.088750,33.000,167.500,0,OK
40278,0.330000,5.083750,33.000,167.500,0,OK
60289,0.330000,5.088750,33.000,167.500,0,OK
80278,0.327500,5.088750,32.750,166.250,0,OK
100289,0.330000,5.088750,33.000,167.500,0,OK
120278,0.330000,5.088750,33.000,167.500,0,OK
140289,0.345000,5.088750,33.250,170.000,0,OK
160278,0.332500,5.088750,33.000,167.500,0,OK
180289,0.332500,5.090000,33.250,167.500,0,OK
200278,0.332500,5.090000,33.250,167.500,0,OK
220289,0.330000,5.085000,33.000,167.500,0,OK
240278,0.330000,5.088750,33.000,167.500,0,OK
260289,0.332500,5.090000,33.250,170.000,0,OK
280278,0.330000,5.090000,33.000,167.500,0,OK
300289,0.327500,5.088750,32.750,166.250,0,OK
320278,0.335000,5.088750,33.000,167.500,0,OK
340289,0.332500,5.088750,32.750,166.250,0,OK
360278,0.325000,5.087500,33.000,166.250,0,OK
380289,0.330000,5.088750,33.000,167.500,0,OK
400278,0.330000,5.087500,33.000,167.500,0,OK
420289,0.327500,5.087500,32.750,166.250,0,OK
440278,0.330000,5.090000,33.000,167.500,0,OK
460289,0.330000,5.090000,33.000,167.500,0,OK
480278,0.327500,5.088750,32.750,166.250,0,OK
500289,0.337500,5.088750,32.750,166.250,0,OK
520278,0.330000,5.090000,33.000,167.500,0,OK
540289,0.332500,5.088750,33.500,167.500,0,OK
560278,0.332500,5.083750,33.250,170.000,0,OK
580289,0.332500,5.087500,33.250,170.000,0,OK
600278,0.332500,5.090000,33.250,170.000,0,OK
620289,0.330000,5.088750,33.000,167.500,0,OK
640278,0.330000,5.090000,33.000,167.500,0,OK
660289,0.350000,5.090000,33.000,167.500,0,OK
680278,0.335000,5.090000,33.000,167.500,0,OK
700289,0.330000,5.090000,33.000,167.500,0,OK
720278,0.330000,5.088750,33.000,167.500,0,OK
740289,0.330000,5.083750,33.000,167.500,0,OK
760278,0.332500,5.088750,33.250,170.000,0,OK
780289,0.332500,5.090000,33.250,170.000,0,OK
800278,0.330000,5.088750,33.000,167.500,0,OK
820289,0.330000,5.090000,33.000,167.500,0,OK
840278,0.340000,5.088750,33.250,170.000,0,OK
860289,0.332500,5.088750,33.250,170.000,0,OK
880278,0.332500,5.088750,33.000,167.500,0,OK
900289,0.332500,5.088750,33.250,167.500,0,OK
920278,0.330000,5.086250,33.000,167.500,0,OK
940289,0.332500,5.088750,33.250,170.000,0,OK
960278,0.332500,5.090000,33.250,170.000,0,OK
980289,0.330000,5.088750,33.000,167.500,0,OK
1000278,0.330000,5.088750,33.000,167.500,0,OK
1020289,0.335000,5.090000,33.250,170.000,0,OK
1040278,0.327500,5.088750,33.000,167.500,0,OK
1060289,0.332500,5.090000,33.000,167.500,0,OK
1080278,0.332500,5.083750,33.250,170.000,0,OK
1100289,0.330000,5.087500,33.000,167.500,0,OK
1120278,0.332500,5.088750,33.250,170.000,0,OK
1140289,0.332500,5.088750,33.250,170.000,0,OK
1160278,0.330000,5.088750,33.000,167.500,0,OK
1180289,0.330000,5.090000,33.000,167.500,0,OK
1200278,0.335000,5.088750,33.250,170.000,0,OK
1220289,0.332500,5.088750,33.250,170.000,0,OK
1240278,0.335000,5.088750,33.250,170.000,0,OK
1260289,0.327500,5.083750,32.750,166.250,0,OK
1280278,0.330000,5.088750,33.000,167.500,0,OK
1300289,0.332500,5.088750,33.250,170.000,0,OK
1320278,0.332500,5.088750,33.250,170.000,0,OK
1340289,0.332500,5.090000,33.250,170.000,0,OK
1360278,0.345000,5.088750,33.250,170.000,0,OK
1380289,0.337500,5.090000,33.000,167.500,0,OK
1400278,0.335000,5.088750,32.750,170.000,0,OK
1420289,0.335000,5.088750,33.500,170.000,0,OK
1440278,0.332500,5.086250,33.250,170.000,0,OK
1460289,0.332500,5.087500,33.250,170.000,0,OK
1480278,0.330000,5.088750,33.000,167.500,0,OK
1500289,0.332500,5.090000,33.250,170.000,0,OK
1520278,0.337500,5.087500,33.750,172.500,0,OK
1540289,0.342500,5.090000,33.500,170.000,0,OK
1560278,0.335000,5.090000,33.500,170.000,0,OK
1580289,0.335000,5.088750,33.250,170.000,0,OK
1600278,0.332500,5.088750,33.250,167.500,0,OK
