timestamp_us,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
10242,0.332500,5.083750,33.250,170.000,0,OK
20218,0.332500,5.083750,33.250,167.500,0,OK
30230,0.332500,5.083750,33.250,170.000,0,OK
40218,0.330000,5.085000,33.000,167.500,0,OK
50230,0.332500,5.082500,33.250,170.000,0,OK
60218,0.332500,5.082500,33.250,170.000,0,OK
70230,0.337500,5.083750,33.250,170.000,0,OK
80218,0.330000,5.083750,33.000,167.500,0,OK
90230,0.332500,5.083750,33.000,167.500,0,OK
100218,0.332500,5.083750,33.250,170.000,0,OK
110230,0.330000,5.085000,32.750,167.500,0,OK
120218,0.332500,5.083750,33.250,170.000,0,OK
130230,0.337500,5.077500,33.750,172.500,0,OK
140218,0.332500,5.083750,33.250,170.000,0,OK
150230,0.330000,5.082500,33.000,167.500,0,OK
160218,0.332500,5.083750,33.250,170.000,0,OK
170226,0.335000,5.085000,33.500,170.000,0,OK
180222,0.332500,5.083750,33.000,167.500,0,OK
190226,0.330000,5.083750,33.000,167.500,0,OK
200222,0.335000,5.085000,33.250,170.000,0,OK
210226,0.330000,5.083750,33.000,167.500,0,OK
220222,0.332500,5.078750,33.250,167.500,0,OK
230226,0.330000,5.083750,33.000,167.500,0,OK
240222,0.332500,5.085000,33.250,170.000,0,OK
250226,0.330000,5.085000,33.000,167.500,0,OK
260222,0.332500,5.083750,33.250,170.000,0,OK
270226,0.332500,5.085000,33.000,167.500,0,OK
280222,0.332500,5.085000,33.250,170.000,0,OK
290226,0.335000,5.085000,33.000,170.000,0,OK
300222,0.330000,5.083750,33.000,167.500,0,OK
310226,0.330000,5.078750,33.000,167.500,0,OK
320218,0.347500,5.083750,33.000,167.500,0,OK
330226,0.332500,5.085000,33.250,170.000,0,OK
340218,0.332500,5.083750,33.000,167.500,0,OK
350230,0.332500,5.083750,33.250,170.000,0,OK
360218,0.330000,5.085000,33.000,167.500,0,OK
370230,0.332500,5.085000,33.250,170.000,0,OK
380218,0.332500,5.085000,33.250,167.500,0,OK
390230,0.335000,5.085000,33.500,170.000,0,OK
400218,0.332500,5.078750,33.250,167.500,0,OK
410230,0.345000,5.083750,33.250,170.000,0,OK
420218,0.332500,5.083750,33.250,170.000,0,OK
430230,0.330000,5.083750,33.250,170.000,0,OK
440218,0.330000,5.085000,33.000,167.500,0,OK
450230,0.332500,5.085000,33.250,167.500,0,OK
460218,0.330000,5.083750,33.000,167.500,0,OK
470230,0.332500,5.083750,33.250,167.500,0,OK
480218,0.332500,5.083750,33.250,170.000,0,OK
490230,0.330000,5.081250,33.000,167.500,0,OK
500218,0.337500,5.083750,33.000,167.500,0,OK
510226,0.335000,5.083750,33.500,170.000,0,OK
520218,0.330000,5.083750,33.250,170.000,0,OK
530230,0.330000,5.085000,33.000,167.500,0,OK
540218,0.332500,5.083750,33.250,167.500,0,OK
550230,0.330000,5.082500,33.000,167.500,0,OK
560218,0.332500,5.083750,33.250,167.500,0,OK
570226,0.332500,5.085000,33.250,170.000,0,OK
580222,0.335000,5.081250,33.500,170.000,0,OK
590226,0.335000,5.085000,33.000,167.500,0,OK
600222,0.332500,5.082500,33.250,170.000,0,OK
610226,0.330000,5.083750,33.000,167.500,0,OK
620222,0.332500,5.083750,33.250,170.000,0,OK
630226,0.335000,5.085000,33.250,170.000,0,OK
