timestamp_us,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
20250,0.335000,5.085000,32.750,170.000,0,OK
40222,0.335000,5.078750,33.500,170.000,0,OK
60234,0.337500,5.083750,33.750,172.500,0,OK
80222,0.332500,5.086250,33.250,170.000,0,OK
100234,0.335000,5.085000,33.500,170.000,0,OK
120222,0.330000,5.086250,33.000,167.500,0,OK
140234,0.332500,5.083750,33.250,170.000,0,OK
160222,0.332500,5.085000,33.250,170.000,0,OK
180234,0.335000,5.085000,33.250,170.000,0,OK
200222,0.332500,5.085000,33.000,167.500,0,OK
220234,0.335000,5.080000,33.500,170.000,0,OK
240222,0.332500,5.083750,33.250,170.000,0,OK
260234,0.335000,5.085000,33.500,170.000,0,OK
280222,0.332500,5.083750,33.250,170.000,0,OK
300234,0.335000,5.085000,33.500,170.000,0,OK
320222,0.342500,5.085000,33.250,170.000,0,OK
340234,0.332500,5.083750,33.000,167.500,0,OK
360222,0.335000,5.083750,33.000,167.500,0,OK
380234,0.332500,5.086250,33.250,167.500,0,OK
400222,0.332500,5.080000,33.250,167.500,0,OK
420234,0.335000,5.085000,33.500,170.000,0,OK
440222,0.332500,5.083750,33.250,170.000,0,OK
460234,0.332500,5.085000,33.250,170.000,0,OK
480222,0.330000,5.085000,33.000,167.500,0,OK
500234,0.337500,5.083750,33.250,170.000,0,OK
520222,0.335000,5.086250,33.250,170.000,0,OK
540234,0.332500,5.083750,33.250,167.500,0,OK
560222,0.335000,5.083750,33.500,170.000,0,OK
580234,0.332500,5.082500,33.250,170.000,0,OK
600222,0.335000,5.083750,33.500,170.000,0,OK
620234,0.332500,5.085000,33.250,170.000,0,OK
640222,0.330000,5.083750,33.000,167.500,0,OK
660234,0.327500,5.085000,32.750,166.250,0,OK
680222,0.332500,5.083750,33.250,170.000,0,OK
700234,0.332500,5.083750,33.000,167.500,0,OK
720222,0.332500,5.083750,33.500,167.500,0,OK
740234,0.332500,5.078750,33.250,167.500,0,OK
760222,0.335000,5.085000,33.500,170.000,0,OK
780234,0.332500,5.085000,33.250,170.000,0,OK
800222,0.335000,5.085000,33.500,170.000,0,OK
820234,0.332500,5.085000,33.250,170.000,0,OK
840222,0.332500,5.086250,33.250,170.000,0,OK
860234,0.330000,5.085000,32.750,166.250,0,OK
880222,0.332500,5.086250,33.000,167.500,0,OK
900234,0.332500,5.086250,33.250,167.500,0,OK
920222,0.332500,5.080000,33.250,167.500,0,OK
940234,0.335000,5.083750,33.500,170.000,0,OK
960222,0.330000,5.085000,33.000,167.500,0,OK
980234,0.332500,5.085000,33.250,170.000,0,OK
1000222,0.332500,5.085000,33.250,170.000,0,OK
1020234,0.342500,5.083750,33.000,167.500,0,OK
1040222,0.332500,5.083750,33.250,170.000,0,OK
